Start Time, Fri Apr 17 14:08:43 GMT-0400 2026
Energy calibration,  Offset: -15.219706535339355, Slope: 0.7653962969779968, Quadratic: 0
Live Time (s), 120
Real Time (s), 120.580528
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, -14.454310238361359, 0
2, -13.688913941383362, 0
3, -12.923517644405365, 0
4, -12.158121347427368, 0
5, -11.392725050449371, 1
6, -10.627328753471375, 0
7, -9.861932456493378, 10
8, -9.09653615951538, 33
9, -8.331139862537384, 32
10, -7.565743565559387, 42
11, -6.80034726858139, 47
12, -6.0349509716033936, 25
13, -5.269554674625397, 40
14, -4.5041583776474, 43
15, -3.738762080669403, 31
16, -2.9733657836914063, 39
17, -2.2079694867134094, 37
18, -1.4425731897354126, 33
19, -0.6771768927574158, 35
20, 0.08821940422058105, 41
21, 0.8536157011985779, 35
22, 1.6190119981765747, 43
23, 2.3844082951545715, 46
24, 3.1498045921325684, 42
25, 3.915200889110565, 33
26, 4.680597186088562, 41
27, 5.445993483066559, 38
28, 6.211389780044556, 35
29, 6.9767860770225525, 55
30, 7.742182374000549, 46
31, 8.507578670978546, 54
32, 9.272974967956543, 52
33, 10.03837126493454, 47
34, 10.803767561912537, 61
35, 11.569163858890533, 58
36, 12.33456015586853, 53
37, 13.099956452846527, 57
38, 13.865352749824524, 50
39, 14.63074904680252, 64
40, 15.396145343780518, 56
41, 16.161541640758514, 52
42, 16.92693793773651, 54
43, 17.692334234714508, 59
44, 18.457730531692505, 72
45, 19.2231268286705, 64
46, 19.9885231256485, 79
47, 20.753919422626495, 85
48, 21.519315719604492, 60
49, 22.28471201658249, 60
50, 23.050108313560486, 74
51, 23.815504610538483, 70
52, 24.58090090751648, 82
53, 25.346297204494476, 86
54, 26.111693501472473, 86
55, 26.87708979845047, 67
56, 27.642486095428467, 71
57, 28.407882392406464, 54
58, 29.17327868938446, 68
59, 29.938674986362457, 90
60, 30.704071283340454, 78
61, 31.46946758031845, 75
62, 32.23486387729645, 81
63, 33.000260174274445, 81
64, 33.76565647125244, 86
65, 34.53105276823044, 79
66, 35.296449065208435, 81
67, 36.06184536218643, 95
68, 36.82724165916443, 93
69, 37.592637956142426, 84
70, 38.35803425312042, 96
71, 39.12343055009842, 95
72, 39.888826847076416, 79
73, 40.65422314405441, 108
74, 41.41961944103241, 105
75, 42.18501573801041, 111
76, 42.9504120349884, 126
77, 43.7158083319664, 120
78, 44.4812046289444, 128
79, 45.246600925922394, 136
80, 46.01199722290039, 114
81, 46.77739351987839, 148
82, 47.542789816856384, 124
83, 48.30818611383438, 141
84, 49.07358241081238, 138
85, 49.838978707790375, 166
86, 50.60437500476837, 153
87, 51.36977130174637, 137
88, 52.135167598724365, 158
89, 52.90056389570236, 168
90, 53.66596019268036, 163
91, 54.431356489658356, 176
92, 55.19675278663635, 193
93, 55.96214908361435, 186
94, 56.727545380592346, 203
95, 57.49294167757034, 213
96, 58.25833797454834, 183
97, 59.02373427152634, 186
98, 59.78913056850433, 191
99, 60.55452686548233, 189
100, 61.31992316246033, 193
101, 62.085319459438324, 213
102, 62.85071575641632, 212
103, 63.61611205339432, 260
104, 64.38150835037231, 264
105, 65.14690464735031, 234
106, 65.91230094432831, 228
107, 66.6776972413063, 225
108, 67.4430935382843, 222
109, 68.2084898352623, 235
110, 68.9738861322403, 252
111, 69.73928242921829, 238
112, 70.50467872619629, 257
113, 71.27007502317429, 266
114, 72.03547132015228, 272
115, 72.80086761713028, 247
116, 73.56626391410828, 271
117, 74.33166021108627, 261
118, 75.09705650806427, 252
119, 75.86245280504227, 234
120, 76.62784910202026, 296
121, 77.39324539899826, 255
122, 78.15864169597626, 264
123, 78.92403799295425, 271
124, 79.68943428993225, 262
125, 80.45483058691025, 281
126, 81.22022688388824, 249
127, 81.98562318086624, 259
128, 82.75101947784424, 270
129, 83.51641577482224, 283
130, 84.28181207180023, 255
131, 85.04720836877823, 250
132, 85.81260466575623, 256
133, 86.57800096273422, 287
134, 87.34339725971222, 268
135, 88.10879355669022, 270
136, 88.87418985366821, 276
137, 89.63958615064621, 292
138, 90.4049824476242, 299
139, 91.1703787446022, 271
140, 91.9357750415802, 283
141, 92.7011713385582, 247
142, 93.4665676355362, 277
143, 94.23196393251419, 281
144, 94.99736022949219, 275
145, 95.76275652647018, 250
146, 96.52815282344818, 285
147, 97.29354912042618, 303
148, 98.05894541740417, 272
149, 98.82434171438217, 281
150, 99.58973801136017, 248
151, 100.35513430833817, 277
152, 101.12053060531616, 271
153, 101.88592690229416, 233
154, 102.65132319927216, 257
155, 103.41671949625015, 276
156, 104.18211579322815, 299
157, 104.94751209020615, 268
158, 105.71290838718414, 262
159, 106.47830468416214, 267
160, 107.24370098114014, 287
161, 108.00909727811813, 258
162, 108.77449357509613, 271
163, 109.53988987207413, 223
164, 110.30528616905212, 259
165, 111.07068246603012, 277
166, 111.83607876300812, 273
167, 112.60147505998611, 235
168, 113.36687135696411, 262
169, 114.13226765394211, 258
170, 114.8976639509201, 267
171, 115.6630602478981, 269
172, 116.4284565448761, 240
173, 117.1938528418541, 253
174, 117.95924913883209, 264
175, 118.72464543581009, 225
176, 119.49004173278809, 253
177, 120.25543802976608, 247
