Start Time, Fri Apr 17 13:23:17 GMT-0400 2026
Energy calibration,  Offset: 0, Slope: 0.7465173602104187, Quadratic: 0
Live Time (s), 120
Real Time (s), 122.353276
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.7465173602104187, 0
2, 1.4930347204208374, 0
3, 2.239552080631256, 0
4, 2.986069440841675, 0
5, 3.7325868010520935, 0
6, 4.479104161262512, 0
7, 5.225621521472931, 13
8, 5.97213888168335, 171
9, 6.718656241893768, 301
10, 7.465173602104187, 293
11, 8.211690962314606, 325
12, 8.958208322525024, 328
13, 9.704725682735443, 344
14, 10.451243042945862, 278
15, 11.19776040315628, 237
16, 11.9442777633667, 264
17, 12.690795123577118, 242
18, 13.437312483787537, 227
19, 14.183829843997955, 212
20, 14.930347204208374, 220
21, 15.676864564418793, 209
22, 16.42338192462921, 198
23, 17.16989928483963, 175
24, 17.91641664505005, 213
25, 18.662934005260468, 205
26, 19.409451365470886, 188
27, 20.155968725681305, 185
28, 20.902486085891724, 196
29, 21.649003446102142, 168
30, 22.39552080631256, 191
31, 23.14203816652298, 212
32, 23.8885555267334, 211
33, 24.635072886943817, 239
34, 25.381590247154236, 210
35, 26.128107607364655, 256
36, 26.874624967575073, 255
37, 27.621142327785492, 309
38, 28.36765968799591, 340
39, 29.11417704820633, 359
40, 29.860694408416748, 418
41, 30.607211768627167, 499
42, 31.353729128837585, 638
43, 32.100246489048004, 852
44, 32.84676384925842, 985
45, 33.59328120946884, 1243
46, 34.33979856967926, 1533
47, 35.08631592988968, 1762
48, 35.8328332901001, 2014
49, 36.579350650310516, 2099
50, 37.325868010520935, 2181
51, 38.072385370731354, 2067
52, 38.81890273094177, 1869
53, 39.56542009115219, 1652
54, 40.31193745136261, 1505
55, 41.05845481157303, 1247
56, 41.80497217178345, 992
57, 42.551489531993866, 792
58, 43.298006892204285, 701
59, 44.0445242524147, 587
60, 44.79104161262512, 517
61, 45.53755897283554, 454
62, 46.28407633304596, 403
63, 47.03059369325638, 379
64, 47.7771110534668, 361
65, 48.523628413677216, 322
66, 49.270145773887634, 313
67, 50.01666313409805, 310
68, 50.76318049430847, 296
69, 51.50969785451889, 256
70, 52.25621521472931, 269
71, 53.00273257493973, 299
72, 53.74924993515015, 296
73, 54.495767295360565, 321
74, 55.242284655570984, 306
75, 55.9888020157814, 295
76, 56.73531937599182, 305
77, 57.48183673620224, 275
78, 58.22835409641266, 320
79, 58.97487145662308, 326
80, 59.721388816833496, 314
81, 60.467906177043915, 358
82, 61.21442353725433, 317
83, 61.96094089746475, 309
84, 62.70745825767517, 367
85, 63.45397561788559, 349
86, 64.20049297809601, 365
87, 64.94701033830643, 340
88, 65.69352769851685, 334
89, 66.44004505872726, 351
90, 67.18656241893768, 382
91, 67.9330797791481, 326
92, 68.67959713935852, 396
93, 69.42611449956894, 389
94, 70.17263185977936, 355
95, 70.91914921998978, 376
96, 71.6656665802002, 401
97, 72.41218394041061, 417
98, 73.15870130062103, 401
99, 73.90521866083145, 416
100, 74.65173602104187, 458
101, 75.39825338125229, 454
102, 76.14477074146271, 435
103, 76.89128810167313, 400
104, 77.63780546188354, 426
105, 78.38432282209396, 404
106, 79.13084018230438, 436
107, 79.8773575425148, 436
108, 80.62387490272522, 414
109, 81.37039226293564, 426
110, 82.11690962314606, 492
111, 82.86342698335648, 468
112, 83.6099443435669, 506
113, 84.35646170377731, 466
114, 85.10297906398773, 483
115, 85.84949642419815, 509
116, 86.59601378440857, 506
117, 87.34253114461899, 496
118, 88.0890485048294, 497
119, 88.83556586503983, 510
120, 89.58208322525024, 501
121, 90.32860058546066, 467
122, 91.07511794567108, 496
123, 91.8216353058815, 499
124, 92.56815266609192, 468
125, 93.31467002630234, 469
126, 94.06118738651276, 521
127, 94.80770474672318, 507
128, 95.5542221069336, 491
129, 96.30073946714401, 460
130, 97.04725682735443, 499
131, 97.79377418756485, 483
132, 98.54029154777527, 497
133, 99.28680890798569, 489
134, 100.0333262681961, 477
135, 100.77984362840652, 490
136, 101.52636098861694, 464
137, 102.27287834882736, 493
138, 103.01939570903778, 504
139, 103.7659130692482, 447
140, 104.51243042945862, 449
141, 105.25894778966904, 513
142, 106.00546514987946, 438
143, 106.75198251008987, 501
144, 107.4984998703003, 457
145, 108.24501723051071, 441
146, 108.99153459072113, 454
147, 109.73805195093155, 473
148, 110.48456931114197, 438
149, 111.23108667135239, 434
150, 111.9776040315628, 468
151, 112.72412139177322, 447
152, 113.47063875198364, 466
153, 114.21715611219406, 460
154, 114.96367347240448, 461
155, 115.7101908326149, 483
156, 116.45670819282532, 447
157, 117.20322555303574, 460
158, 117.94974291324615, 484
159, 118.69626027345657, 485
160, 119.44277763366699, 484
161, 120.18929499387741, 472
162, 120.93581235408783, 474
163, 121.68232971429825, 479
164, 122.42884707450867, 455
165, 123.17536443471909, 498
166, 123.9218817949295, 477
167, 124.66839915513992, 466
168, 125.41491651535034, 501
169, 126.16143387556076, 490
170, 126.90795123577118, 484
171, 127.6544685959816, 490
172, 128.40098595619202, 475
173, 129.14750331640244, 446
174, 129.89402067661285, 478
175, 130.64053803682327, 471
176, 131.3870553970337, 507
177, 132.1335727572441, 461
178, 132.88009011745453, 492
179, 133.62660747766495, 504
