Start Time, Fri Apr 17 13:53:13 GMT-0400 2026
Energy calibration,  Offset: -15.219706535339355, Slope: 0.7653962969779968, Quadratic: 0
Live Time (s), 120
Real Time (s), 124.329614
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, -14.454310238361359, 0
2, -13.688913941383362, 0
3, -12.923517644405365, 0
4, -12.158121347427368, 0
5, -11.392725050449371, 0
6, -10.627328753471375, 0
7, -9.861932456493378, 11
8, -9.09653615951538, 495
9, -8.331139862537384, 1386
10, -7.565743565559387, 1523
11, -6.80034726858139, 1254
12, -6.0349509716033936, 892
13, -5.269554674625397, 577
14, -4.5041583776474, 408
15, -3.738762080669403, 309
16, -2.9733657836914063, 299
17, -2.2079694867134094, 275
18, -1.4425731897354126, 242
19, -0.6771768927574158, 300
20, 0.08821940422058105, 308
21, 0.8536157011985779, 272
22, 1.6190119981765747, 280
23, 2.3844082951545715, 301
24, 3.1498045921325684, 293
25, 3.915200889110565, 329
26, 4.680597186088562, 292
27, 5.445993483066559, 306
28, 6.211389780044556, 281
29, 6.9767860770225525, 364
30, 7.742182374000549, 409
31, 8.507578670978546, 480
32, 9.272974967956543, 543
33, 10.03837126493454, 699
34, 10.803767561912537, 773
35, 11.569163858890533, 915
36, 12.33456015586853, 1182
37, 13.099956452846527, 1486
38, 13.865352749824524, 1919
39, 14.63074904680252, 2436
40, 15.396145343780518, 3486
41, 16.161541640758514, 4707
42, 16.92693793773651, 6328
43, 17.692334234714508, 8699
44, 18.457730531692505, 11506
45, 19.2231268286705, 14024
46, 19.9885231256485, 16449
47, 20.753919422626495, 18516
48, 21.519315719604492, 18905
49, 22.28471201658249, 18693
50, 23.050108313560486, 16938
51, 23.815504610538483, 15058
52, 24.58090090751648, 12291
53, 25.346297204494476, 9730
54, 26.111693501472473, 7511
55, 26.87708979845047, 5678
56, 27.642486095428467, 4228
57, 28.407882392406464, 3207
58, 29.17327868938446, 2313
59, 29.938674986362457, 1731
60, 30.704071283340454, 1244
61, 31.46946758031845, 914
62, 32.23486387729645, 711
63, 33.000260174274445, 581
64, 33.76565647125244, 522
65, 34.53105276823044, 546
66, 35.296449065208435, 502
67, 36.06184536218643, 549
68, 36.82724165916443, 538
69, 37.592637956142426, 569
70, 38.35803425312042, 666
71, 39.12343055009842, 677
72, 39.888826847076416, 742
73, 40.65422314405441, 811
74, 41.41961944103241, 911
75, 42.18501573801041, 911
76, 42.9504120349884, 1056
77, 43.7158083319664, 1077
78, 44.4812046289444, 1088
79, 45.246600925922394, 1176
80, 46.01199722290039, 1118
81, 46.77739351987839, 1200
82, 47.542789816856384, 1216
83, 48.30818611383438, 1182
84, 49.07358241081238, 1114
85, 49.838978707790375, 1153
86, 50.60437500476837, 1094
87, 51.36977130174637, 1175
88, 52.135167598724365, 1092
89, 52.90056389570236, 1133
90, 53.66596019268036, 1233
91, 54.431356489658356, 1257
92, 55.19675278663635, 1263
93, 55.96214908361435, 1343
94, 56.727545380592346, 1415
95, 57.49294167757034, 1454
96, 58.25833797454834, 1544
97, 59.02373427152634, 1578
98, 59.78913056850433, 1487
99, 60.55452686548233, 1458
100, 61.31992316246033, 1419
101, 62.085319459438324, 1374
102, 62.85071575641632, 1441
103, 63.61611205339432, 1375
104, 64.38150835037231, 1424
105, 65.14690464735031, 1403
106, 65.91230094432831, 1446
107, 66.6776972413063, 1479
108, 67.4430935382843, 1511
109, 68.2084898352623, 1704
110, 68.9738861322403, 1825
111, 69.73928242921829, 2036
112, 70.50467872619629, 2229
113, 71.27007502317429, 2557
114, 72.03547132015228, 2960
115, 72.80086761713028, 3255
116, 73.56626391410828, 3689
117, 74.33166021108627, 3945
118, 75.09705650806427, 4224
119, 75.86245280504227, 4733
120, 76.62784910202026, 5031
121, 77.39324539899826, 5236
122, 78.15864169597626, 5233
123, 78.92403799295425, 5320
124, 79.68943428993225, 5229
125, 80.45483058691025, 5037
126, 81.22022688388824, 4754
127, 81.98562318086624, 4404
128, 82.75101947784424, 3904
129, 83.51641577482224, 3483
130, 84.28181207180023, 3113
131, 85.04720836877823, 2695
132, 85.81260466575623, 2182
133, 86.57800096273422, 1877
134, 87.34339725971222, 1541
135, 88.10879355669022, 1252
136, 88.87418985366821, 1059
137, 89.63958615064621, 841
138, 90.4049824476242, 839
139, 91.1703787446022, 720
140, 91.9357750415802, 699
141, 92.7011713385582, 649
142, 93.4665676355362, 610
143, 94.23196393251419, 573
144, 94.99736022949219, 541
145, 95.76275652647018, 607
146, 96.52815282344818, 580
147, 97.29354912042618, 569
148, 98.05894541740417, 602
149, 98.82434171438217, 573
150, 99.58973801136017, 630
151, 100.35513430833817, 612
152, 101.12053060531616, 596
153, 101.88592690229416, 635
154, 102.65132319927216, 655
155, 103.41671949625015, 684
156, 104.18211579322815, 702
157, 104.94751209020615, 709
158, 105.71290838718414, 696
159, 106.47830468416214, 771
160, 107.24370098114014, 719
161, 108.00909727811813, 755
162, 108.77449357509613, 805
163, 109.53988987207413, 806
164, 110.30528616905212, 864
165, 111.07068246603012, 856
166, 111.83607876300812, 918
167, 112.60147505998611, 931
168, 113.36687135696411, 923
169, 114.13226765394211, 900
170, 114.8976639509201, 902
171, 115.6630602478981, 936
