Start Time, Fri Apr 10 12:04:11 GMT-0400 2026
Energy calibration,  Offset: -168.54302978515625, Slope: 0.9260296821594238, Quadratic: 0
Live Time (s), 120
Real Time (s), 130.731314
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, -167.61700010299683, 1
2, -166.6909704208374, 0
3, -165.76494073867798, 1
4, -164.83891105651855, 0
5, -163.91288137435913, 0
6, -162.9868516921997, 0
7, -162.06082201004028, 0
8, -161.13479232788086, 0
9, -160.20876264572144, 9
10, -159.282732963562, 143
11, -158.3567032814026, 1028
12, -157.43067359924316, 1914
13, -156.50464391708374, 2372
14, -155.57861423492432, 2754
15, -154.6525845527649, 3215
16, -153.72655487060547, 3815
17, -152.80052518844604, 4259
18, -151.87449550628662, 4114
19, -150.9484658241272, 3685
20, -150.02243614196777, 2888
21, -149.09640645980835, 2118
22, -148.17037677764893, 1680
23, -147.2443470954895, 1345
24, -146.31831741333008, 1305
25, -145.39228773117065, 1299
26, -144.46625804901123, 1280
27, -143.5402283668518, 1257
28, -142.61419868469238, 1139
29, -141.68816900253296, 1090
30, -140.76213932037354, 973
31, -139.8361096382141, 829
32, -138.9100799560547, 745
33, -137.98405027389526, 701
34, -137.05802059173584, 672
35, -136.13199090957642, 648
36, -135.205961227417, 676
37, -134.27993154525757, 672
38, -133.35390186309814, 779
39, -132.42787218093872, 890
40, -131.5018424987793, 921
41, -130.57581281661987, 1080
42, -129.64978313446045, 1101
43, -128.72375345230103, 1178
44, -127.7977237701416, 1309
45, -126.87169408798218, 1325
46, -125.94566440582275, 1485
47, -125.01963472366333, 1590
48, -124.0936050415039, 1717
49, -123.16757535934448, 1820
50, -122.24154567718506, 2164
51, -121.31551599502563, 2584
52, -120.38948631286621, 3116
53, -119.46345663070679, 3599
54, -118.53742694854736, 4449
55, -117.61139726638794, 5566
56, -116.68536758422852, 6670
57, -115.75933790206909, 7932
58, -114.83330821990967, 9258
59, -113.90727853775024, 10759
60, -112.98124885559082, 11596
61, -112.0552191734314, 12333
